"Line","BoardingTime","PassengerCount"
"CV47","2019-12-18T07:30",179
"CV48","2019-12-18T07:30",168
"CV67","2019-12-18T07:30",136
"DC15","2019-12-18T07:30",453
"DC15A","2019-12-18T07:30",505
"FL82","2019-12-18T07:30",405
"GM24","2019-12-18T07:30",187
"KC06","2019-12-18T07:30",617
"KC33","2019-12-18T07:30",126
"KC35","2019-12-18T07:30",192
"KC35A","2019-12-18T07:30",126
"KF52","2019-12-18T07:30",237
"KL08","2019-12-18T07:30",551
"KM61","2019-12-18T07:30",238
"KPZ83","2019-12-18T07:30",214
"LC07","2019-12-18T07:30",249
"LC07A","2019-12-18T07:30",150
"LF09","2019-12-18T07:30",694
"LF10","2019-12-18T07:30",632
"MC12","2019-12-18T07:30",230
"MF40","2019-12-18T07:30",368
"ML22","2019-12-18T07:30",165
"MZ78","2019-12-18T07:30",270
"TB72","2019-12-18T07:30",290
"TC16","2019-12-18T07:30",192
"TC16A","2019-12-18T07:30",193
"TC93","2019-12-18T07:30",126
"TCD49","2019-12-18T07:30",109
"TCD49A","2019-12-18T07:30",147
"TCP45","2019-12-18T07:30",286
"TK36","2019-12-18T07:30",186
"TL94","2019-12-18T07:30",106
"UC11","2019-12-18T07:30",367
"UC32","2019-12-18T07:30",213
"VC53","2019-12-18T07:30",204
"VC57","2019-12-18T07:30",194
"VC59","2019-12-18T07:30",268
"VF01","2019-12-18T07:30",812
"VF02","2019-12-18T07:30",495
"VF63","2019-12-18T07:30",130
"VF66","2019-12-18T07:30",307
"VL13","2019-12-18T07:30",331
"VL13A","2019-12-18T07:30",595
"VML54","2019-12-18T07:30",281
"VML55A","2019-12-18T07:30",161
"VS18","2019-12-18T07:30",510
"511","2019-12-18T08:00",228
"AC03","2019-12-18T08:00",276
"AF04","2019-12-18T08:00",233
"AF04A","2019-12-18T08:00",143
"CV14","2019-12-18T08:00",380
"CV47","2019-12-18T08:00",155
"CV48","2019-12-18T08:00",136
"CV67","2019-12-18T08:00",131
"DC15","2019-12-18T08:00",420
"DC15A","2019-12-18T08:00",483
"FL82","2019-12-18T08:00",248
"GM24","2019-12-18T08:00",144
"KC06","2019-12-18T08:00",714
"KC33","2019-12-18T08:00",151
"KC35","2019-12-18T08:00",190
"KC35A","2019-12-18T08:00",145
"KF52","2019-12-18T08:00",156
"KL08","2019-12-18T08:00",750
"KM61","2019-12-18T08:00",244
"KPZ83","2019-12-18T08:00",204
"LC07","2019-12-18T08:00",377
"LC07A","2019-12-18T08:00",222
"LF09","2019-12-18T08:00",547
"LF10","2019-12-18T08:00",720
"MC12","2019-12-18T08:00",249
"MF40","2019-12-18T08:00",283
"ML22","2019-12-18T08:00",250
"MZ78","2019-12-18T08:00",163
"TB72","2019-12-18T08:00",211
"TC16","2019-12-18T08:00",176
"TC16A","2019-12-18T08:00",200
"TC93","2019-12-18T08:00",99
"TCD49","2019-12-18T08:00",112
"TCD49A","2019-12-18T08:00",172
"TCP45","2019-12-18T08:00",221
"TK36","2019-12-18T08:00",140
"TL94","2019-12-18T08:00",120
"UC11","2019-12-18T08:00",431
"UC32","2019-12-18T08:00",295
"VC53","2019-12-18T08:00",128
"VC57","2019-12-18T08:00",164
"VC59","2019-12-18T08:00",205
"VF01","2019-12-18T08:00",828
"VF02","2019-12-18T08:00",468
"VF63","2019-12-18T08:00",110
"VF66","2019-12-18T08:00",320
"VL13","2019-12-18T08:00",415
"VL13A","2019-12-18T08:00",439
"VML54","2019-12-18T08:00",215
"VML55A","2019-12-18T08:00",196
"VS18","2019-12-18T08:00",610
"511","2019-12-18T08:30",148
"AC03","2019-12-18T08:30",210
"AF04","2019-12-18T08:30",161
"AF04A","2019-12-18T08:30",156
"CV14","2019-12-18T08:30",239
"CV47","2019-12-18T08:30",169
"CV48","2019-12-18T08:30",105
"CV67","2019-12-18T08:30",126
"DC15","2019-12-18T08:30",344
"DC15A","2019-12-18T08:30",341
"FL82","2019-12-18T08:30",230
"GM24","2019-12-18T08:30",118
"KC06","2019-12-18T08:30",596
"KC33","2019-12-18T08:30",142
"KC35","2019-12-18T08:30",125
"KC35A","2019-12-18T08:30",109
"KF52","2019-12-18T08:30",147
"KL08","2019-12-18T08:30",674
"KM61","2019-12-18T08:30",183
"KPZ83","2019-12-18T08:30",126
"LC07","2019-12-18T08:30",354
"LC07A","2019-12-18T08:30",257
"LF09","2019-12-18T08:30",558
"LF10","2019-12-18T08:30",662
"MC12","2019-12-18T08:30",183
"MF40","2019-12-18T08:30",279
"ML22","2019-12-18T08:30",140
"MZ78","2019-12-18T08:30",115
"TB72","2019-12-18T08:30",235
"TC16","2019-12-18T08:30",187
"TC16A","2019-12-18T08:30",150
"TC93","2019-12-18T08:30",134
"TCD49","2019-12-18T08:30",99
"TCD49A","2019-12-18T08:30",176
"TCP45","2019-12-18T08:30",225
"TK36","2019-12-18T08:30",118
"TL94","2019-12-18T08:30",123
"UC11","2019-12-18T08:30",326
"UC32","2019-12-18T08:30",185
"VC53","2019-12-18T08:30",106
"VC57","2019-12-18T08:30",150
"VC59","2019-12-18T08:30",179
"VF01","2019-12-18T08:30",650
"VF02","2019-12-18T08:30",412
"VF63","2019-12-18T08:30",92
"VF66","2019-12-18T08:30",277
"VL13","2019-12-18T08:30",355
"VL13A","2019-12-18T08:30",321
"VML54","2019-12-18T08:30",183
"VML55A","2019-12-18T08:30",163
"VS18","2019-12-18T08:30",524
"511","2019-12-18T09:00",114
"AC03","2019-12-18T09:00",161
"AF04","2019-12-18T09:00",116
"AF04A","2019-12-18T09:00",143
"CV14","2019-12-18T09:00",213
"CV47","2019-12-18T09:00",94
"CV48","2019-12-18T09:00",66
"CV67","2019-12-18T09:00",109
"DC15","2019-12-18T09:00",260
"DC15A","2019-12-18T09:00",283
"FL82","2019-12-18T09:00",209
"GM24","2019-12-18T09:00",82
"KC06","2019-12-18T09:00",391
"KC33","2019-12-18T09:00",83
"KC35","2019-12-18T09:00",91
"KC35A","2019-12-18T09:00",77
"KF52","2019-12-18T09:00",99
"KL08","2019-12-18T09:00",537
"KM61","2019-12-18T09:00",145
"KPZ83","2019-12-18T09:00",105
"LC07","2019-12-18T09:00",378
"LC07A","2019-12-18T09:00",196
"LF09","2019-12-18T09:00",448
"LF10","2019-12-18T09:00",521
"MC12","2019-12-18T09:00",143
"MF40","2019-12-18T09:00",215
"ML22","2019-12-18T09:00",133
"MZ78","2019-12-18T09:00",109
"TB72","2019-12-18T09:00",157
"TC16","2019-12-18T09:00",137
"TC16A","2019-12-18T09:00",131
"TC93","2019-12-18T09:00",85
"TCD49","2019-12-18T09:00",100
"TCD49A","2019-12-18T09:00",77
"TCP45","2019-12-18T09:00",139
"TK36","2019-12-18T09:00",119
"TL94","2019-12-18T09:00",86
"UC11","2019-12-18T09:00",311
"UC32","2019-12-18T09:00",91
"VC53","2019-12-18T09:00",113
"VC57","2019-12-18T09:00",120
"VC59","2019-12-18T09:00",120
"VF01","2019-12-18T09:00",428
"VF02","2019-12-18T09:00",284
"VF63","2019-12-18T09:00",93
"VF66","2019-12-18T09:00",235
"VL13","2019-12-18T09:00",181
"VL13A","2019-12-18T09:00",189
"VML54","2019-12-18T09:00",157
"VML55A","2019-12-18T09:00",99
"VS18","2019-12-18T09:00",271
"511","2019-12-18T09:30",94
"AC03","2019-12-18T09:30",141
"AF04","2019-12-18T09:30",87
"AF04A","2019-12-18T09:30",120
"CV14","2019-12-18T09:30",154
"CV47","2019-12-18T09:30",123
"CV48","2019-12-18T09:30",54
"CV67","2019-12-18T09:30",123
"DC15","2019-12-18T09:30",222
"DC15A","2019-12-18T09:30",243
"FL82","2019-12-18T09:30",122
"GM24","2019-12-18T09:30",75
"KC06","2019-12-18T09:30",439
"KC33","2019-12-18T09:30",81
"KC35","2019-12-18T09:30",58
"KC35A","2019-12-18T09:30",84
"KF52","2019-12-18T09:30",101
"KL08","2019-12-18T09:30",436
"KM61","2019-12-18T09:30",146
"KPZ83","2019-12-18T09:30",83
"LC07","2019-12-18T09:30",349
"LC07A","2019-12-18T09:30",183
"LF09","2019-12-18T09:30",355
"LF10","2019-12-18T09:30",508
"MC12","2019-12-18T09:30",150
"MF40","2019-12-18T09:30",195
"ML22","2019-12-18T09:30",68
"MZ78","2019-12-18T09:30",108
"TB72","2019-12-18T09:30",149
"TC16","2019-12-18T09:30",118
"TC16A","2019-12-18T09:30",89
"TC93","2019-12-18T09:30",83
"TCD49","2019-12-18T09:30",64
"TCD49A","2019-12-18T09:30",72
"TCP45","2019-12-18T09:30",141
"TK36","2019-12-18T09:30",96
"TL94","2019-12-18T09:30",87
"UC11","2019-12-18T09:30",232
"UC32","2019-12-18T09:30",94
"VC53","2019-12-18T09:30",79
"VC57","2019-12-18T09:30",135
"VC59","2019-12-18T09:30",129
"VF01","2019-12-18T09:30",451
"VF02","2019-12-18T09:30",211
"VF63","2019-12-18T09:30",134
"VF66","2019-12-18T09:30",226
"VL13","2019-12-18T09:30",125
"VL13A","2019-12-18T09:30",175
"VML54","2019-12-18T09:30",120
"VML55A","2019-12-18T09:30",72
"VS18","2019-12-18T09:30",249
"511","2019-12-18T10:00",87
"AC03","2019-12-18T10:00",138
"AF04","2019-12-18T10:00",111
"AF04A","2019-12-18T10:00",99
"CV14","2019-12-18T10:00",122
"CV47","2019-12-18T10:00",121
"CV48","2019-12-18T10:00",71
"CV67","2019-12-18T10:00",111
"DC15","2019-12-18T10:00",183
"DC15A","2019-12-18T10:00",278
"FL82","2019-12-18T10:00",114
"GM24","2019-12-18T10:00",69
"KC06","2019-12-18T10:00",413
"KC33","2019-12-18T10:00",86
"KC35","2019-12-18T10:00",51
"KC35A","2019-12-18T10:00",74
"KF52","2019-12-18T10:00",49
"KL08","2019-12-18T10:00",444
"KM61","2019-12-18T10:00",168
"KPZ83","2019-12-18T10:00",108
"LC07","2019-12-18T10:00",339
"LC07A","2019-12-18T10:00",134
"LF09","2019-12-18T10:00",415
"LF10","2019-12-18T10:00",461
"MC12","2019-12-18T10:00",136
"MF40","2019-12-18T10:00",177
"ML22","2019-12-18T10:00",78
"MZ78","2019-12-18T10:00",71
"TB72","2019-12-18T10:00",124
"TC16","2019-12-18T10:00",94
"TC16A","2019-12-18T10:00",93
"TC93","2019-12-18T10:00",93
"TCD49","2019-12-18T10:00",91
"TCD49A","2019-12-18T10:00",79
"TCP45","2019-12-18T10:00",129
"TK36","2019-12-18T10:00",113
"TL94","2019-12-18T10:00",99
"UC11","2019-12-18T10:00",235
"UC32","2019-12-18T10:00",112
"VC53","2019-12-18T10:00",83
"VC57","2019-12-18T10:00",133
"VC59","2019-12-18T10:00",91
"VF01","2019-12-18T10:00",473
"VF02","2019-12-18T10:00",233
"VF63","2019-12-18T10:00",106
"VF66","2019-12-18T10:00",223
"VL13","2019-12-18T10:00",133
"VL13A","2019-12-18T10:00",182
"VML54","2019-12-18T10:00",89
"VML55A","2019-12-18T10:00",50
"VS18","2019-12-18T10:00",197
"511","2019-12-18T10:30",84
"AC03","2019-12-18T10:30",117
"AF04","2019-12-18T10:30",101
"AF04A","2019-12-18T10:30",90
"CV14","2019-12-18T10:30",134
"CV47","2019-12-18T10:30",114
"CV48","2019-12-18T10:30",46
"CV67","2019-12-18T10:30",109
"DC15","2019-12-18T10:30",164
"DC15A","2019-12-18T10:30",307
"FL82","2019-12-18T10:30",89
"GM24","2019-12-18T10:30",76
"KC06","2019-12-18T10:30",424
"KC33","2019-12-18T10:30",92
"KC35","2019-12-18T10:30",47
"KC35A","2019-12-18T10:30",69
"KF52","2019-12-18T10:30",68
"KL08","2019-12-18T10:30",467
"KM61","2019-12-18T10:30",161
"KPZ83","2019-12-18T10:30",82
"LC07","2019-12-18T10:30",309
"LC07A","2019-12-18T10:30",124
"LF09","2019-12-18T10:30",363
"LF10","2019-12-18T10:30",474
"MC12","2019-12-18T10:30",150
